keys,id,en
%memuat_pemain%,Menambahkan Pemain ke dunia,Adding Player to world
,,
# menu jeda,,
%lanjutkan,  Lanjutkan,  Resume
%statistik,  Statistik,  Statistics
%putuskan,  Putuskan,  Disconnect
,,
# notifikasi,,
%buatkoneksi,Membuat peladen dengan map `%s` pada %s,Host a server with map `%s` at %s
KONEKSISUKSES,Koneksi terhubung dengan peladen,Connected to
%koneksigagal,Tidak dapat terhubung dengan peladen,Unable to connect the server
%koneksiputus,Koneksi peladen telah terputus,Server disconnected
%namakosong,Nama Pemain tidak boleh kosong!,Player Name cannot be empty!
%ipkosong,Alamat IP tidak boleh kosong!,IP Address cannot empty!
%iptakvalid,Alamat IP tidak valid!,Invalid IP Address!
LOGINFORMASI,INFORMASI,INFO
LOGPERINGATAN,PERINGATAN,WARNING
LOGKESALAHAN,KESALAHAN,ERROR
PERINTAHSALAH,Perintah `%s` tidak ditemukan.,Command `%s` not found.
%spawnpemain,spawn pemain,spawning player
%putuskanserver,Menghentikan peladen,Stopping server
%belum_tersedia,Fitur ini belum tersedia.,Not available yet.
%muat_pengaturan,Memuat file konfigurasi,Loading configuration
%simpan_pengaturan,Menyimpan konfigurasi,Saving configuration
%simpan_karakter,Menyimpan Karakter,Saving Character
,,
# output debug,,
informasi_performa,Informasi Performa,Performance Info
FPS,Frame/detik,FPS
VERTEKS,Sudut,Vertices
DRAW,Penggambaran,Draw Calls
OBJEK,Objek,Objects
ENTITAS,Entitas,Entities
ARAH,Arah,Direction
,,
# input,,
INPUTSPASI,spasi,space
INPUTHAPUS,hapus,delete
%inputnama%,ketik namamu disini...,type your name here...
%inputperintah%,Masukkan perintah disini...,Input expression here...
,,
# aksi,,
%aksi,Aksi,Action
%pasang,Buat,Place
%gunakan,Gunakan,Use
%edit,Edit,Edit
%edit_skrip,Edit Kode,Edit Code
%dorong,Dorong,Push
%angkat,Angkat,Pickup
%lempar,Lempar,Throw
%jatuhkan,Jatuhkan,Drop
%bantuan,Bantuan,Help
,,
# dialog,,
login_akun,Masuk,Login
profil_pemain,Profil Pemain,Player Profile
atau,atau,or
t5d0f95face,Selamat datang di dreamline!,Welcome to dreamline!
tc6ded773c4,Ini adalah game Sandbox [b]Multiplayer Cross-Platform[/b] dimana kamu bisa bermain bersama siapapun dengan perangkat apapun,This is a Sandbox [b]Multiplayer Cross-Platform[/b] game where you can play with anyone with any platform
,,
# editor kode,,
gunakan():, gunakan():, use():
Permainan >,Permainan >,Game >
Objek >,Objek >,Object >
Pintu >,Pintu >,Door >
notifikasi(teks),notifikasi(teks),notify(text)
pesan(teks),pesan(teks),message(text)
pindahkan(arah),pindahkan(arah),move(direction)
buka(),buka(),open()
tutup(),tutup(),close()
,,
# konfirmasi,,
%keluar%,Keluar Permainan?,Exit Game?
%putuskan_server,"Masih ada pemain yang terhubung, hentikan peladen?","There are players still connected, stop the server?"
%lanjut,Lanjut,Next
%lanjutkan%,Lanjutkan,Continue
%login_guest%,Bermain tanpa Akun,Play without Account
%login_google%,Masuk dengan Google,Sign in with Google
%tinggalkan_permainan,Ini akan menutup permainan dan mengalihkan ke situs eksternal:\n%s\nLanjutkan?,This will close the game and redirect to: %s\nContinue?
,,
# placeholder,,
@author,ProgrammerIndonesia44,ProgrammerIndonesia44
